id,date,amount,merchant,description,category,reference_id
bank-001,2026-01-03,1500.00,"Metro Market","Workshop groceries",program_supplies,BK-1001
bank-002,2026-01-07,220.00,"City Utilities","January utilities",utilities,BK-1002
bank-003,2026-01-11,145.00,"CodeCamp Transit","Bus cards",travel,BK-1003
bank-004,2026-01-17,89.99,"Office Depot","Printer ink",administrative,BK-1004
bank-005,2026-01-21,540.00,"Community Hall","Venue rental",program_services,BK-1005
bank-006,2026-01-25,67.43,"Staples","Markers and folders",program_supplies,BK-1006
bank-007,2026-02-01,129.50,"Zoom","Monthly software",technology,BK-1007
bank-008,2026-02-04,355.00,"Coach Payroll","Part-time coach stipend",personnel,BK-1008
bank-009,2026-02-12,412.80,"FedEx","Program materials shipping",administrative,BK-1009
bank-010,2026-02-20,780.00,"Youth Sports Gear","Uniforms batch 1",program_supplies,BK-1010
bank-011,2026-03-03,315.00,"AWS","Cloud hosting",technology,BK-1011
bank-012,2026-03-10,240.00,"Volunteer Lunch","Mentor event catering",program_services,BK-1012
bank-013,2026-03-23,197.75,"Canva","Design subscription",administrative,BK-1013
